"","Percent_Change_ON","Percent_Change_1W","Date","Week.day","ON","X1W","X1M","X2M","X3M","X6M","X12M","timestamp","Year","MonthDay","Pre"
"1",0.0209117524810454,-0.217718192890082,"08.01.2019","Tue",2.39125,2.40875,2.5155,2.64638,2.7825,2.85256,3.01613,2019-01-08,2019,"0108","Post"
"2",0.0627090321553281,-0.150398459552814,"07.01.2019","Mon",2.39275,2.40513,2.51113,2.63388,2.79681,2.84875,2.99475,2019-01-07,2019,"0107","Post"
"3",0.0522275041902609,0.191905153102945,"04.01.2019","Fri",2.394,2.40975,2.52056,2.62313,2.80388,2.85575,2.96488,2019-01-04,2019,"0104","Post"
"4",-0.0885939529893687,0.14513790646471,"03.01.2019","Thu",2.39188,2.41325,2.51275,2.62038,2.795,2.85888,3.005,2019-01-03,2019,"0103","Post"
"5",-0.214705970988216,0.0621375330680851,"02.01.2019","Wed",2.38675,2.41475,2.50713,2.61738,2.79388,2.87394,3.002,2019-01-02,2019,"0102","Post"
"6",-0.356768479157621,-0.139656434772184,"31.12.2018","Mon",2.37825,2.41138,2.50269,2.61375,2.80763,2.87563,3.00544,2018-12-31,2018,"1231","Post"
"7",0.592376324283972,0.186441223531053,"28.12.2018","Fri",2.39238,2.41588,2.51988,2.6195,2.797,2.87313,3.01313,2018-12-28,2018,"1228","Post"
"8",-0.0576997871081453,0.155102595249534,"27.12.2018","Thu",2.391,2.41963,2.52238,2.619,2.803,2.883,3.03238,2018-12-27,2018,"1227","Post"
"9",-0.046853299831362,-0.041337175523426,"24.12.2018","Mon",2.38988,2.41863,2.50563,2.61175,2.81344,2.89375,3.04788,2018-12-24,2018,"1224","Pre"
"10",0.0731986371727111,-0.108798408954958,"21.12.2018","Fri",2.39163,2.416,2.50625,2.61188,2.82163,2.90788,3.07313,2018-12-21,2018,"1221","Pre"
"11",-0.156919883816353,-0.315895776728725,"20.12.2018","Thu",2.38788,2.40838,2.50375,2.61738,2.82375,2.9,3.06544,2018-12-20,2018,"1220","Pre"
"12",-9.0278635950154,-1.68537081417491,"19.12.2018","Wed",2.18175,2.36813,2.47938,2.58956,2.78963,2.87088,3.05275,2018-12-19,2018,"1219","Pre"
"13",-0.0687757936325695,0.0367311013116378,"18.12.2018","Tue",2.18025,2.369,2.47013,2.58725,2.792,2.87638,3.06131,2018-12-18,2018,"1218","Pre"
"14",0.0458557843642238,-2.9993679395604,"17.12.2018","Mon",2.18125,2.299,2.46963,2.59063,2.80363,2.90463,3.10388,2018-12-17,2018,"1217","Pre"
"15",0,0.268694538852249,"08.01.2018","Mon",1.4375,1.46832,1.55375,1.62372,1.70802,1.86529,2.15075,2018-01-08,2018,"0108","Post"
"16",0,0.0939408241935724,"05.01.2018","Fri",1.4375,1.4697,1.5525,1.62194,1.70393,1.86507,2.14953,2018-01-05,2018,"0105","Post"
"17",0,0.000680408653447317,"04.01.2018","Thu",1.4375,1.46971,1.555,1.62068,1.70381,1.85831,2.13834,2018-01-04,2018,"0104","Post"
"18",0.0869187364586854,0.14753928274403,"03.01.2018","Wed",1.43875,1.47188,1.55688,1.62041,1.69593,1.84269,2.11782,2018-01-03,2018,"0103","Post"
"19",-0.0869187364586854,0.575831633192891,"02.01.2018","Tue",1.4375,1.48038,1.56175,1.62205,1.69693,1.83938,2.10933,2018-01-02,2018,"0102","Post"
"20",-0.610555756248515,0,"29.12.2017","Fri",1.42875,1.48038,1.56425,1.62186,1.69428,1.83707,2.10697,2017-12-29,2017,"1229","Post"
"21",0.610555756248515,0.252993041019994,"28.12.2017","Thu",1.4375,1.48413,1.56775,1.62189,1.69465,1.84363,2.10634,2017-12-28,2017,"1228","Post"
"22",-0.174064447778399,0.336331482163371,"27.12.2017","Wed",1.435,1.48913,1.569,1.62347,1.69339,1.843,2.11063,2017-12-27,2017,"1227","Post"
"23",-0.043214911210715,-0.210411051267168,"22.12.2017","Fri",1.43438,1.486,1.56375,1.61674,1.68577,1.83363,2.10216,2017-12-22,2017,"1222","Pre"
"24",0,-0.717236256530779,"21.12.2017","Thu",1.43438,1.47538,1.55213,1.6067,1.67464,1.82488,2.09091,2017-12-21,2017,"1221","Pre"
"25",0,-1.180879872715,"20.12.2017","Wed",1.43438,1.45806,1.53488,1.58629,1.65793,1.81413,2.08366,2017-12-20,2017,"1220","Pre"
"26",-0.0871836596334052,-0.101556290121729,"19.12.2017","Tue",1.43313,1.45658,1.51113,1.56025,1.64203,1.7883,2.06888,2017-12-19,2017,"1219","Pre"
"27",0,-0.085854307089217,"18.12.2017","Mon",1.43313,1.45533,1.50113,1.54905,1.62548,1.7817,2.05825,2017-12-18,2017,"1218","Pre"
"28",-0.289017542223335,-0.045943406885196,"06.01.2017","Fri",0.691,0.71811,0.76333,0.82778,1.01011,1.32433,1.68456,2017-01-06,2017,"0106","Post"
"29",0.176400039958347,0.0779520912536524,"05.01.2017","Thu",0.69222,0.71867,0.76556,0.82444,1.00928,1.321,1.689,2017-01-05,2017,"0105","Post"
"30",-0.257474864876472,-0.0473208081203269,"04.01.2017","Wed",0.69044,0.71833,0.76556,0.82278,1.00511,1.32156,1.689,2017-01-04,2017,"0104","Post"
"31",0.721566325232026,0.693647607310421,"03.01.2017","Tue",0.69544,0.72333,0.77333,0.82,0.99872,1.31767,1.689,2017-01-03,2017,"0103","Post"
"32",-0.479983624829555,0,"30.12.2016","Fri",0.69211,0.72333,0.77167,0.81944,0.99789,1.31767,1.68567,2016-12-30,2016,"1230","Post"
"33",-0.56363482620212,0,"29.12.2016","Thu",0.68822,0.72333,0.77111,0.81944,0.99789,1.31767,1.68733,2016-12-29,2016,"1229","Post"
"34",-0.241493301727752,-1.11215748814155,"28.12.2016","Wed",0.68656,0.71533,0.77,0.81611,0.99817,1.31767,1.69011,2016-12-28,2016,"1228","Post"
"35",1.04612861257108,-0.545288958804646,"23.12.2016","Fri",0.69378,0.71144,0.76111,0.81444,0.99706,1.31656,1.68956,2016-12-23,2016,"1223","Pre"
"36",-1.04612861257108,0,"22.12.2016","Thu",0.68656,0.71144,0.75611,0.81333,0.99706,1.316,1.68789,2016-12-22,2016,"1222","Pre"
